"oteam_name","year","lg","w","l","t","w_l","playoffs","att","cteam_name","team","venue","address","city","lat","lng"
"Atlanta Braves",1996,"NL East",96,66,0,"0.593","Lost WS (4-2)","2901242","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1997,"NL East",101,61,0,"0.623","Lost NLCS (4-2)","3464488","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1998,"NL East",106,56,0,"0.654","Lost NLCS (4-2)","3360860","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1999,"NL East",103,59,0,"0.636","Lost WS (4-0)","3284897","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",2000,"NL East",95,67,0,"0.586","Lost LDS (3-0)","3234304","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",2001,"NL East",88,74,0,"0.543","Lost NLCS (4-1)","2823530","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",2002,"NL East",101,59,1,"0.631","Lost LDS (3-2)","2603484","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",2003,"NL East",101,61,0,"0.623","Lost LDS (3-2)","2401084","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",2004,"NL East",96,66,0,"0.593","Lost LDS (3-2)","2327565","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",2005,"NL East",90,72,0,"0.556","Lost LDS (3-1)","2521167","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",2006,"NL East",79,83,0,"0.488",NULL,"2550524","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
